age,over_all_rating,nationality,club,best_position,potential,height,weight,foot,market_value,contract,cross,stamina,total_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,phys_index,skill_index
33,69,Italy,Udinese,LWB,69,182.88,82.1,Left,625000.0,0,75,69,1929,3,2,Medium,High,2,71,59,70,71,68,69,69.67,66.67
37,71,Spain,KAS Eupen,CM,71,155.45,64.86,Right,600000.0,0,68,64,1906,4,3,Medium,Medium,1,53,69,73,69,58,63,60.0,70.33
33,71,England,Coventry City,CAM,71,179.83,73.03,Right,1100000.0,0,80,29,1770,4,4,Medium,Low,2,45,68,76,77,36,52,42.0,73.67
36,81,Spain,Vissel Kobe,CAM,81,173.74,68.04,Right,5500000.0,0,75,58,2014,4,4,High,Medium,4,58,70,85,85,63,59,58.33,80.0
27,66,Germany,Alemannia Aachen,RW,70,176.78,73.94,Right,725000.0,0,61,64,1649,2,3,Medium,Medium,2,91,56,56,67,27,63,72.67,59.67
38,77,Turkey,Fenerbahçe SK,CM,77,173.74,72.12,Left,2800000.0,0,80,51,2017,4,4,Medium,Medium,2,44,71,83,77,62,66,53.67,77.0
39,78,Wales,Manchester United,CAM,78,155.45,71.21,Left,1000.0,0,90,48,1939,2,3,Medium,Medium,3,60,72,85,77,41,57,55.0,78.0
37,80,England,Manchester United,CAM,80,173.74,71.21,Right,400000.0,0,83,34,2065,3,3,Medium,Medium,2,53,76,87,79,59,61,49.33,80.67
35,74,England,Everton,CB,74,155.75,76.2,Right,120000.0,0,73,61,1868,4,2,Medium,High,2,51,53,67,62,76,72,61.33,60.67
35,80,Republic of Ireland,LA Galaxy,CF,80,179.83,73.03,Right,5500000.0,1,68,72,1974,4,3,High,Low,2,68,82,75,82,31,69,69.67,79.67
38,79,Brazil,FC Anzhi Makhachkala,CDM,79,170.69,69.85,Left,0.0,0,80,60,2207,2,3,Medium,High,2,78,65,81,77,77,76,71.33,74.33
39,75,Argentina,Inter,CDM,75,155.45,74.84,Right,1000.0,0,75,55,1874,4,2,Medium,High,3,63,48,75,80,68,67,61.67,67.67
38,70,Italy,Sydney FC,CAM,70,179.83,73.94,Right,190000.0,0,70,30,1682,5,4,Low,Low,3,29,77,72,72,34,38,32.33,73.67
37,73,Italy,Montreal Impact,CB,73,188.98,78.93,Right,0.0,0,36,33,1548,3,2,Medium,High,3,41,32,54,58,75,62,45.33,48.0
42,82,Italy,Juventus,GK,82,195.07,92.08,Right,2200000.0,0,13,34,1292,2,1,Medium,Medium,4,77,76,74,78,33,91,67.33,76.0
37,73,Italy,Milan,ST,73,155.75,73.94,Right,350000.0,0,35,31,1507,3,2,Medium,Low,3,52,72,49,57,20,35,39.33,59.33
37,75,Italy,Milan,GK,75,192.02,92.08,Right,1300000.0,0,14,34,1160,2,1,Medium,Medium,2,80,72,60,77,38,80,64.67,69.67
39,80,Italy,Roma,CAM,80,155.75,82.1,Right,1500000.0,0,83,54,1872,5,3,Medium,Medium,3,38,84,87,81,21,67,53.0,84.0
37,82,Netherlands,Botafogo,CAM,82,155.45,79.83,Right,2200000.0,0,84,72,2077,4,4,Medium,Medium,3,64,78,85,83,50,70,68.67,82.0
37,72,Netherlands,Ajax,GK,72,201.17,92.08,Right,325000.0,0,18,27,1150,4,1,Medium,Medium,2,69,71,72,70,33,73,56.33,71.0
36,75,Germany,Borussia Dortmund,GK,75,192.02,89.81,Left,900000.0,0,14,28,1058,1,1,Medium,Medium,2,70,76,50,77,22,81,59.67,67.67
33,76,Portugal,SL Benfica,LB,76,179.83,82.1,Left,3000000.0,0,76,75,2113,3,3,Medium,Medium,3,76,72,69,73,74,78,76.33,71.33
40,73,Republic of Ireland,Stoke City,GK,73,185.93,83.91,Right,500000.0,0,12,29,1223,3,1,Medium,Medium,2,69,72,72,70,42,76,58.0,71.33
41,58,England,Newport County,ST,58,155.75,76.2,Left,0.0,0,59,49,1669,3,2,High,Low,1,43,63,56,63,43,72,54.67,60.67
36,63,Republic of Ireland,Burton Albion,CB,63,182.88,74.84,Right,35000.0,0,65,54,1786,3,3,Medium,Medium,2,43,59,67,65,60,69,55.33,63.67
37,71,Brazil,SD Ponferradina,ST,71,185.93,78.02,Right,850000.0,0,58,65,1755,4,3,High,Medium,1,66,74,59,69,35,69,66.67,67.33
37,66,Republic of Ireland,Reading,CB,66,192.02,83.91,Right,45000.0,0,53,29,1463,3,2,Low,Medium,2,29,33,55,51,68,60,39.33,46.33
38,79,Portugal,Portugal,CB,79,182.88,78.93,Right,0.0,0,48,32,1703,3,2,Medium,Medium,3,40,47,60,56,80,66,46.0,54.33
39,75,Brazil,Internacional,GK,75,198.12,84.82,Left,0.0,0,25,33,1274,2,1,Medium,Medium,1,75,74,67,72,39,82,63.33,71.0
33,74,Portugal,RCD Espanyol,CAM,74,173.74,63.96,Right,1200000.0,0,77,48,1851,5,4,Medium,Medium,2,69,71,75,78,29,51,56.0,74.67
34,78,Italy,FC Sion,CDM,78,155.45,77.11,Right,825000.0,0,55,70,1858,3,2,Medium,High,3,59,50,66,62,78,79,69.33,59.33
31,63,France,Stade Brestois 29,CB,63,155.75,77.11,Right,120000.0,0,61,65,1693,3,2,Medium,Medium,2,69,52,56,61,64,67,67.0,56.33
32,74,England,Stoke City,ST,74,176.78,69.85,Right,1800000.0,0,66,34,1751,4,3,Medium,Medium,2,61,75,67,78,22,52,49.0,73.33
38,78,England,New York City FC,CM,78,182.88,88.9,Right,575000.0,2,79,55,2022,4,3,Medium,Medium,3,43,80,80,73,58,68,55.33,77.67
38,79,Spain,FC Porto,GK,79,185.93,83.91,Left,1300000.0,0,13,41,1300,2,1,Medium,Medium,4,82,73,60,77,55,83,68.67,70.0
39,64,Netherlands,Barnet,CDM,64,173.74,68.04,Left,1000.0,0,59,51,1837,3,3,Medium,High,1,52,63,65,63,68,65,56.0,63.67
34,77,France,West Bromwich Albion,ST,77,185.93,79.83,Right,2100000.0,0,74,69,1867,3,3,Medium,Low,3,63,78,71,78,29,71,67.67,75.67
34,72,Italy,Spezia,ST,72,182.88,78.93,Right,1600000.0,0,51,54,1694,3,2,High,Medium,2,58,71,59,67,29,64,58.67,65.67
35,74,France,Newell's Old Boys,ST,74,192.02,79.83,Right,1100000.0,0,48,44,1716,3,3,Medium,Low,2,39,75,61,65,36,65,49.33,67.0
38,70,England,West Bromwich Albion,CDM,70,182.88,78.02,Left,375000.0,0,73,32,1833,3,3,Low,Medium,2,31,63,72,66,72,63,42.0,67.0
35,75,England,Queens Park Rangers,CB,75,195.07,86.18,Right,550000.0,0,45,33,1620,3,2,Medium,Medium,3,52,42,59,58,77,65,50.0,53.0
33,76,Italy,Sampdoria,CAM,76,179.83,79.83,Right,3400000.0,0,85,34,1676,4,3,Medium,Low,3,38,72,84,81,16,46,39.33,79.0
