name,age,over_all_rating,nationality,club,best_over_rating,best_position,position,potential,height,weight,foot,growth,market_value,contract,cross,stamina,total_stats,base_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,hits,phys_index,skill_index
G. Pasquale,33,69,Italy,Udinese,71,LWB,LM,69,182.88,82.1,Left,0,625000.0,0,75,69,1929,408,3,2,Medium,High,2,71,59,70,71,68,69,4,69.67,66.67
Luis García,37,71,Spain,KAS Eupen,70,CM,CM CAM CDM,71,155.45,64.86,Right,0,600000.0,0,68,64,1906,385,4,3,Medium,Medium,1,53,69,73,69,58,63,4,60.0,70.33
J. Cole,33,71,England,Coventry City,71,CAM,CAM RM RW LM,71,179.83,73.03,Right,0,1100000.0,0,80,29,1770,354,4,4,Medium,Low,2,45,68,76,77,36,52,11,42.0,73.67
Iniesta,36,81,Spain,Vissel Kobe,82,CAM,CM CAM,81,173.74,68.04,Right,0,5500000.0,0,75,58,2014,420,4,4,High,Medium,4,58,70,85,85,63,59,149,58.33,80.0
D. Odonkor,27,66,Germany,Alemannia Aachen,66,RW,RW RM,70,176.78,73.94,Right,4,725000.0,0,61,64,1649,360,2,3,Medium,Medium,2,91,56,56,67,27,63,7,72.67,59.67
E. Belözoğlu,38,77,Turkey,Fenerbahçe SK,77,CM,CM CDM,77,173.74,72.12,Left,0,2800000.0,0,80,51,2017,403,4,4,Medium,Medium,2,44,71,83,77,62,66,7,53.67,77.0
R. Giggs,39,78,Wales,Manchester United,78,CAM,LM CM CAM,78,155.45,71.21,Left,0,1000.0,0,90,48,1939,392,2,3,Medium,Medium,3,60,72,85,77,41,57,9,55.0,78.0
P. Scholes,37,80,England,Manchester United,82,CAM,CM CDM,80,173.74,71.21,Right,0,400000.0,0,83,34,2065,415,3,3,Medium,Medium,2,53,76,87,79,59,61,7,49.33,80.67
P. Neville,35,74,England,Everton,75,CB,CDM CM RB,74,155.75,76.2,Right,0,120000.0,0,73,61,1868,381,4,2,Medium,High,2,51,53,67,62,76,72,7,61.33,60.67
R. Keane,35,80,Republic of Ireland,LA Galaxy,81,CF,ST,80,179.83,73.03,Right,0,5500000.0,1,68,72,1974,407,4,3,High,Low,2,68,82,75,82,31,69,10,69.67,79.67
Roberto Carlos,38,79,Brazil,FC Anzhi Makhachkala,79,CDM,CDM LB LM,79,170.69,69.85,Left,0,0.0,0,80,60,2207,454,2,3,Medium,High,2,78,65,81,77,77,76,9,71.33,74.33
J. Zanetti,39,75,Argentina,Inter,75,CDM,RM RB CM,75,155.45,74.84,Right,0,1000.0,0,75,55,1874,401,4,2,Medium,High,3,63,48,75,80,68,67,5,61.67,67.67
A. Del Piero,38,70,Italy,Sydney FC,74,CAM,ST CAM,70,179.83,73.94,Right,0,190000.0,0,70,30,1682,322,5,4,Low,Low,3,29,77,72,72,34,38,8,32.33,73.67
A. Nesta,37,73,Italy,Montreal Impact,72,CB,CB,73,188.98,78.93,Right,0,0.0,0,36,33,1548,322,3,2,Medium,High,3,41,32,54,58,75,62,7,45.33,48.0
G. Buffon,42,82,Italy,Juventus,82,GK,GK,82,195.07,92.08,Right,0,2200000.0,0,13,34,1292,429,2,1,Medium,Medium,4,77,76,74,78,33,91,154,67.33,76.0
F. Inzaghi,37,73,Italy,Milan,72,ST,ST,73,155.75,73.94,Right,0,350000.0,0,35,31,1507,285,3,2,Medium,Low,3,52,72,49,57,20,35,4,39.33,59.33
C. Abbiati,37,75,Italy,Milan,75,GK,GK,75,192.02,92.08,Right,0,1300000.0,0,14,34,1160,407,2,1,Medium,Medium,2,80,72,60,77,38,80,6,64.67,69.67
F. Totti,39,80,Italy,Roma,82,CAM,CF ST,80,155.75,82.1,Right,0,1500000.0,0,83,54,1872,378,5,3,Medium,Medium,3,38,84,87,81,21,67,18,53.0,84.0
C. Seedorf,37,82,Netherlands,Botafogo,81,CAM,CAM,82,155.45,79.83,Right,0,2200000.0,0,84,72,2077,430,4,4,Medium,Medium,3,64,78,85,83,50,70,6,68.67,82.0
M. Stekelenburg,37,72,Netherlands,Ajax,72,GK,GK,72,201.17,92.08,Right,0,325000.0,0,18,27,1150,388,4,1,Medium,Medium,2,69,71,72,70,33,73,34,56.33,71.0
R. Weidenfeller,36,75,Germany,Borussia Dortmund,74,GK,GK,75,192.02,89.81,Left,0,900000.0,0,14,28,1058,376,1,1,Medium,Medium,2,70,76,50,77,22,81,5,59.67,67.67
Eliseu,33,76,Portugal,SL Benfica,75,LB,LB,76,179.83,82.1,Left,0,3000000.0,0,76,75,2113,442,3,3,Medium,Medium,3,76,72,69,73,74,78,4,76.33,71.33
S. Given,40,73,Republic of Ireland,Stoke City,72,GK,GK,73,185.93,83.91,Right,0,500000.0,0,12,29,1223,401,3,1,Medium,Medium,2,69,72,72,70,42,76,7,58.0,71.33
K. Ellison,41,58,England,Newport County,61,ST,LM ST,58,155.75,76.2,Left,0,0.0,0,59,49,1669,340,3,2,High,Low,1,43,63,56,63,43,72,19,54.67,60.67
R. Delap,36,63,Republic of Ireland,Burton Albion,66,CB,CM RM RB,63,182.88,74.84,Right,0,35000.0,0,65,54,1786,363,3,3,Medium,Medium,2,43,59,67,65,60,69,7,55.33,63.67
Yuri,37,71,Brazil,SD Ponferradina,71,ST,ST,71,185.93,78.02,Right,0,850000.0,0,58,65,1755,372,4,3,High,Medium,1,66,74,59,69,35,69,9,66.67,67.33
J. O'Shea,37,66,Republic of Ireland,Reading,65,CB,CB,66,192.02,83.91,Right,0,45000.0,0,53,29,1463,296,3,2,Low,Medium,2,29,33,55,51,68,60,7,39.33,46.33
